iter	Passed	Remaining
540	15121	12829
541	15146	12799
542	15166	12764
543	15187	12730
544	15212	12699
545	15234	12667
546	15258	12636
547	15283	12605
548	15311	12578
549	15333	12545
550	15360	12516
551	15382	12484
552	15410	12456
553	15440	12430
554	15464	12399
555	15491	12370
556	15514	12339
557	15538	12307
558	15558	12274
559	15579	12241
560	15600	12208
561	15625	12177
562	15655	12151
563	15680	12121
564	15706	12092
565	15729	12061
566	15754	12031
567	15777	11999
568	15798	11967
569	15820	11935
570	15853	11911
571	15886	11886
572	15908	11855
573	15939	11829
574	15971	11805
575	15997	11776
576	16022	11745
577	16047	11716
578	16070	11685
579	16098	11657
580	16128	11631
581	16153	11601
582	16177	11571
583	16199	11539
584	16219	11505
585	16240	11473
586	16267	11445
587	16290	11414
588	16312	11382
589	16342	11356
590	16368	11327
591	16392	11297
592	16422	11271
593	16450	11244
594	16474	11213
595	16500	11184
596	16525	11155
597	16553	11127
598	16574	11095
599	16602	11068
600	16628	11039
601	16655	11011
602	16686	10985
603	16723	10964
604	16755	10939
605	16787	10914
606	16821	10891
607	16860	10870
608	16896	10848
609	16934	10826
610	16963	10799
611	16983	10767
612	17004	10735
613	17028	10705
614	17049	10673
615	17069	10640
616	17093	10610
617	17115	10579
618	17134	10546
619	17157	10516
620	17183	10486
621	17207	10457
622	17231	10427
623	17256	10398
624	17282	10369
625	17305	10339
626	17330	10310
627	17359	10282
628	17387	10255
629	17413	10226
630	17438	10197
631	17460	10166
632	17482	10135
633	17508	10107
634	17531	10077
635	17556	10047
636	17583	10019
637	17610	9992
638	17638	9964
639	17658	9933
640	17684	9904
641	17707	9874
642	17731	9844
643	17754	9814
644	17776	9784
645	17800	9754
646	17823	9724
647	17849	9696
648	17877	9668
649	17906	9642
650	17934	9614
651	17963	9587
652	17989	9559
653	18015	9531
654	18039	9501
655	18067	9474
656	18089	9443
657	18112	9414
658	18132	9382
659	18149	9349
660	18171	9319
661	18193	9288
662	18212	9257
663	18232	9226
664	18254	9195
665	18281	9168
666	18303	9138
667	18327	9108
668	18348	9078
